target_wer,actual_wer,seed,checklist_accuracy,checklist_macro_f1,checklist_cohen_kappa,summary_rouge_l,fact_f1,outcome_accuracy,sentiment_accuracy,parse_rate
0.0,0.0,0,0.4286,0.4273,0.1193,0.09,0.0804,0.5833,0.5833,1.0
0.1,0.1052,0,0.3333,0.3237,0.0261,0.0942,0.1326,0.5,0.5833,1.0
0.1,0.1042,1,0.369,0.3617,0.0702,0.1241,0.0935,0.6667,0.5833,1.0
0.2,0.2121,0,0.4167,0.4146,0.1091,0.0818,0.0537,0.5833,0.5,1.0
0.2,0.2037,1,0.3571,0.3513,0.0442,0.0891,0.0911,0.5,0.5,1.0
0.3,0.2841,0,0.3571,0.3513,0.0442,0.0751,0.0313,0.5,0.5,1.0
0.3,0.2942,1,0.3929,0.3907,0.0727,0.0521,0.0,0.6667,0.5,1.0
0.4,0.3695,0,0.381,0.3778,0.0631,0.088,0.0139,0.25,0.6667,1.0
0.4,0.3703,1,0.381,0.3753,0.0796,0.0885,0.0611,0.5,0.6667,1.0
